id,name,usage,location_id/id
stock.Building5|10W|B|9,9,Internal Location,stock.Building5|10W|B|
stock.Building5|1BG||,1BG,Internal Location,stock.Building5|||
stock.Building5|1BG|D|,D,Internal Location,stock.Building5|1BG||
stock.Building5|1BG|D|6,6,Internal Location,stock.Building5|1BG|D|
stock.Building5|1G||,1G,Internal Location,stock.Building5|||
stock.Building5|1G|B|,B,Internal Location,stock.Building5|1G||
stock.Building5|1G|B|2,2,Internal Location,stock.Building5|1G|B|
stock.Building5|1GA||,1GA,Internal Location,stock.Building5|||
stock.Building5|1GA|1|,1,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|1|1,1,Internal Location,stock.Building5|1GA|1|
stock.Building5|1GA|A|,A,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|A|1,1,Internal Location,stock.Building5|1GA|A|
stock.Building5|1GA|A|2,2,Internal Location,stock.Building5|1GA|A|
stock.Building5|1GA|A|4,4,Internal Location,stock.Building5|1GA|A|
stock.Building5|1GA|A|5,5,Internal Location,stock.Building5|1GA|A|
stock.Building5|1GA|B|,B,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|B|1,1,Internal Location,stock.Building5|1GA|B|
stock.Building5|1GA|B|2,2,Internal Location,stock.Building5|1GA|B|
stock.Building5|1GA|B|3,3,Internal Location,stock.Building5|1GA|B|
stock.Building5|1GA|B|4,4,Internal Location,stock.Building5|1GA|B|
stock.Building5|1GA|B|5,5,Internal Location,stock.Building5|1GA|B|
stock.Building5|1GA|C|,C,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|C|1,1,Internal Location,stock.Building5|1GA|C|
stock.Building5|1GA|C|2,2,Internal Location,stock.Building5|1GA|C|
stock.Building5|1GA|C|3,3,Internal Location,stock.Building5|1GA|C|
stock.Building5|1GA|C|6,6,Internal Location,stock.Building5|1GA|C|
stock.Building5|1GA|D|,D,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|D|3,3,Internal Location,stock.Building5|1GA|D|
stock.Building5|1GA|E|,E,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|E|1,1,Internal Location,stock.Building5|1GA|E|
stock.Building5|1GA|E|2,2,Internal Location,stock.Building5|1GA|E|
stock.Building5|1GA|E|4,4,Internal Location,stock.Building5|1GA|E|
stock.Building5|1GA|E|5,5,Internal Location,stock.Building5|1GA|E|
stock.Building5|1GA|F|,F,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|F|1,1,Internal Location,stock.Building5|1GA|F|
stock.Building5|1GA|F|2,2,Internal Location,stock.Building5|1GA|F|
stock.Building5|1GA|F|3,3,Internal Location,stock.Building5|1GA|F|
stock.Building5|1GA|F|4,4,Internal Location,stock.Building5|1GA|F|
stock.Building5|1GA|G|,G,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|G|3,3,Internal Location,stock.Building5|1GA|G|
stock.Building5|1GA|G|4,4,Internal Location,stock.Building5|1GA|G|
stock.Building5|1GA|G|5,5,Internal Location,stock.Building5|1GA|G|
stock.Building5|1GA|H|,H,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|H|1,1,Internal Location,stock.Building5|1GA|H|
stock.Building5|1GA|H|2,2,Internal Location,stock.Building5|1GA|H|
stock.Building5|1GA|H|4,4,Internal Location,stock.Building5|1GA|H|
stock.Building5|1GA|H|5,5,Internal Location,stock.Building5|1GA|H|
stock.Building5|1GA|I|,I,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|I|1,1,Internal Location,stock.Building5|1GA|I|
stock.Building5|1GA|I|2,2,Internal Location,stock.Building5|1GA|I|
stock.Building5|1GA|I|3,3,Internal Location,stock.Building5|1GA|I|
stock.Building5|1GA|I|4,4,Internal Location,stock.Building5|1GA|I|
stock.Building5|1GA|I|5,5,Internal Location,stock.Building5|1GA|I|
stock.Building5|1GA|J|,J,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|J|1,1,Internal Location,stock.Building5|1GA|J|
stock.Building5|1GA|J|2,2,Internal Location,stock.Building5|1GA|J|
stock.Building5|1GA|J|3,3,Internal Location,stock.Building5|1GA|J|
stock.Building5|1GA|J|4,4,Internal Location,stock.Building5|1GA|J|
stock.Building5|1GA|J|5,5,Internal Location,stock.Building5|1GA|J|
stock.Building5|1GA|K|,K,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|K|1,1,Internal Location,stock.Building5|1GA|K|
stock.Building5|1GA|K|2,2,Internal Location,stock.Building5|1GA|K|
stock.Building5|1GA|K|3,3,Internal Location,stock.Building5|1GA|K|
